[2, 8, 3]
Found new best, iteration = 714000, Error = 0.272830321737188
Found new best, iteration = 720000, Error = 0.2722149526256948
Found new best, iteration = 725000, Error = 0.2713548976042879
Found new best, iteration = 743000, Error = 0.2712803178683362
Found new best, iteration = 749000, Error = 0.2697321556736215
Found new best, iteration = 800000, Error = 0.2694503930162855
Found new best, iteration = 802000, Error = 0.269014634630622
Found new best, iteration = 832000, Error = 0.26876908911956754
Found new best, iteration = 834000, Error = 0.26779349902236227
Found new best, iteration = 892000, Error = 0.2672003120672622
Found new best, iteration = 893000, Error = 0.2670660039397833
Found new best, iteration = 894000, Error = 0.26673088966537284
Found new best, iteration = 896000, Error = 0.26570943199093766
Found new best, iteration = 897000, Error = 0.2656932366318122
Found new best, iteration = 900000, Error = 0.2648892336124643
Found new best, iteration = 901000, Error = 0.26439638764541096
Found new best, iteration = 902000, Error = 0.26402216682255986
Found new best, iteration = 910000, Error = 0.2637336526589104
Found new best, iteration = 924000, Error = 0.2626852756657567
Found new best, iteration = 928000, Error = 0.26055038253524704
Found new best, iteration = 951000, Error = 0.26050838212752003
Found new best, iteration = 955000, Error = 0.25916994645609664
Found new best, iteration = 978000, Error = 0.2590357672428238
Found new best, iteration = 981000, Error = 0.25837095291390655
Found new best, iteration = 999000, Error = 0.258309343290693
Found new best, iteration = 1003000, Error = 0.25662059133089377
Found new best, iteration = 1008000, Error = 0.25646566931621473
Found new best, iteration = 1010000, Error = 0.2561577162382933
Found new best, iteration = 1017000, Error = 0.2560022991907668
Found new best, iteration = 1018000, Error = 0.25544723851443907
Found new best, iteration = 1021000, Error = 0.25498358034653057
Found new best, iteration = 1033000, Error = 0.25386372748469094
Found new best, iteration = 1035000, Error = 0.2538176731078943
Found new best, iteration = 1037000, Error = 0.25323194426757256
Found new best, iteration = 1039000, Error = 0.25268708436486614
Found new best, iteration = 1040000, Error = 0.2521510354433259
Found new best, iteration = 1043000, Error = 0.2519495810663056
Found new best, iteration = 1053000, Error = 0.25181742526387385
Found new best, iteration = 1062000, Error = 0.25132921247052364
Found new best, iteration = 1073000, Error = 0.250913543529942
Found new best, iteration = 1077000, Error = 0.2506818706939079
Found new best, iteration = 1085000, Error = 0.25036302453464376
Found new best, iteration = 1090000, Error = 0.2501293713900716
Found new best, iteration = 1095000, Error = 0.2500527574206658
Found new best, iteration = 1100000, Error = 0.24932734699108092
Found new best, iteration = 1101000, Error = 0.24888248220960157
Found new best, iteration = 1123000, Error = 0.24877199109515963
Found new best, iteration = 1128000, Error = 0.24871335073967
Found new best, iteration = 1140000, Error = 0.24867701979878043
Found new best, iteration = 1187000, Error = 0.2485302943469324
Found new best, iteration = 1202000, Error = 0.2478519413311721
Found new best, iteration = 1205000, Error = 0.24748586922298443
Found new best, iteration = 1206000, Error = 0.2472020001880974
Found new best, iteration = 1207000, Error = 0.24704844565131706
Found new best, iteration = 1208000, Error = 0.24542172911365345
Found new best, iteration = 1209000, Error = 0.24520427807648895
Found new best, iteration = 1220000, Error = 0.24393180745367507
Found new best, iteration = 1233000, Error = 0.24272869162876665
Found new best, iteration = 1234000, Error = 0.2423509377088594
Found new best, iteration = 1235000, Error = 0.2422910427425758
Found new best, iteration = 1240000, Error = 0.2421747612682093
Found new best, iteration = 1249000, Error = 0.2421050122733174
Found new best, iteration = 1250000, Error = 0.24090709648128378
Found new best, iteration = 1251000, Error = 0.24077690234767624
Found new best, iteration = 1261000, Error = 0.2402745687957482
Found new best, iteration = 1298000, Error = 0.2396414981880997
Found new best, iteration = 1301000, Error = 0.23751268313138288
Found new best, iteration = 1309000, Error = 0.2358631571155926
Found new best, iteration = 1312000, Error = 0.23563385787644234
Found new best, iteration = 1315000, Error = 0.23561453239956368
Found new best, iteration = 1323000, Error = 0.23528616934627164
Found new best, iteration = 1326000, Error = 0.23407273415447824
Found new best, iteration = 1328000, Error = 0.23330998184657425
Found new best, iteration = 1329000, Error = 0.23218332370324535
Found new best, iteration = 1356000, Error = 0.22999173610112528
Found new best, iteration = 1373000, Error = 0.22977367292725198
Found new best, iteration = 1443000, Error = 0.2296113364018395
Found new best, iteration = 1456000, Error = 0.22737758940467645
Found new best, iteration = 1483000, Error = 0.22672375376771142
Found new best, iteration = 1485000, Error = 0.22651875777110791
Found new best, iteration = 1489000, Error = 0.22616323037201783
Found new best, iteration = 1543000, Error = 0.22614342065257792
Found new best, iteration = 1545000, Error = 0.22584467962032817
Found new best, iteration = 1546000, Error = 0.22575066132383775
Found new best, iteration = 1556000, Error = 0.2252434179295879
Found new best, iteration = 1566000, Error = 0.22451666442106244
Found new best, iteration = 1630000, Error = 0.22327862612396476
Found new best, iteration = 1642000, Error = 0.22306114731915994
Found new best, iteration = 1654000, Error = 0.2213875514193462
Found new best, iteration = 1735000, Error = 0.22137690900546114
Found new best, iteration = 1737000, Error = 0.2208759843207599
Found new best, iteration = 1741000, Error = 0.22057492358926245
Found new best, iteration = 1743000, Error = 0.2204213868044275
Found new best, iteration = 1749000, Error = 0.22033178858535046
Found new best, iteration = 1750000, Error = 0.22025047196968975
Found new best, iteration = 1752000, Error = 0.2191858377892381
Found new best, iteration = 1757000, Error = 0.21881602148275053
Found new best, iteration = 1771000, Error = 0.21831161283172065
Found new best, iteration = 1773000, Error = 0.21700279003565964
Found new best, iteration = 1781000, Error = 0.21647206682199957
Found new best, iteration = 1832000, Error = 0.21621970486666692
Found new best, iteration = 1833000, Error = 0.21615305313209268
Found new best, iteration = 1857000, Error = 0.21502686675157207
Found new best, iteration = 1861000, Error = 0.21476139467395033
Found new best, iteration = 1862000, Error = 0.21452603851381175
Found new best, iteration = 1867000, Error = 0.2144266326083408
Found new best, iteration = 1871000, Error = 0.21411077876045365
Found new best, iteration = 1892000, Error = 0.21403040338034185
Found new best, iteration = 1905000, Error = 0.2131439397770427
Found new best, iteration = 1911000, Error = 0.21277506504394106
Found new best, iteration = 1913000, Error = 0.21239516366153355
Found new best, iteration = 1999000, Error = 0.2105432349408754
Found new best, iteration = 2052000, Error = 0.20958374338940247
Found new best, iteration = 2058000, Error = 0.20877598369844452
Found new best, iteration = 2059000, Error = 0.2074752480955931
Found new best, iteration = 2061000, Error = 0.20742652457500838
Found new best, iteration = 2079000, Error = 0.20577258371783064
Found new best, iteration = 2112000, Error = 0.20528477313311755
Found new best, iteration = 2114000, Error = 0.20453831139572543
Found new best, iteration = 2119000, Error = 0.2034341963572965
Found new best, iteration = 2125000, Error = 0.2024784942065185
Found new best, iteration = 2127000, Error = 0.20203649128730142
Found new best, iteration = 2136000, Error = 0.2019596356914449
Found new best, iteration = 2150000, Error = 0.20186260033288517
Found new best, iteration = 2153000, Error = 0.20074629942725422
Found new best, iteration = 2154000, Error = 0.2000466369022888
Found new best, iteration = 2157000, Error = 0.1994651990131176
Found new best, iteration = 2158000, Error = 0.1973723147682247
Found new best, iteration = 2159000, Error = 0.19692604571184547
Found new best, iteration = 2160000, Error = 0.19647303582468095
Found new best, iteration = 2161000, Error = 0.19502410618226218
Found new best, iteration = 2162000, Error = 0.19443283539678963
Found new best, iteration = 2163000, Error = 0.19156214020541656
Found new best, iteration = 2164000, Error = 0.1893276674337102
Found new best, iteration = 2174000, Error = 0.18857655923201974
Found new best, iteration = 2176000, Error = 0.18823401006864066
Found new best, iteration = 2178000, Error = 0.18706429119662235
Found new best, iteration = 2180000, Error = 0.18697224706978782
Found new best, iteration = 2181000, Error = 0.18609656920512918
Found new best, iteration = 2182000, Error = 0.1858277752492783
Found new best, iteration = 2188000, Error = 0.18526323010342688
Found new best, iteration = 2192000, Error = 0.18460897108410995
Found new best, iteration = 2193000, Error = 0.18352345778830853
Found new best, iteration = 2197000, Error = 0.18267520162828293
Found new best, iteration = 2198000, Error = 0.1822911046931288
Found new best, iteration = 2201000, Error = 0.18081721125977313
Found new best, iteration = 2204000, Error = 0.18059347079179994
Found new best, iteration = 2207000, Error = 0.17969344823167419
Found new best, iteration = 2216000, Error = 0.1784309774087961
Found new best, iteration = 2219000, Error = 0.17825101737581378
